Identity,DomainName,UserPrincipalName,DisplayName,GivenName,SurName,HomePhone,MobilePhone,PostalCode,City,Country,State,StreetAddress,Title,Department,Office,Fax,UsageLocation,Password,ChangePasswordAtLogon,PasswordNeverExpires,BusinessUnitName,SecurityRoleName,SystemUserId,BusinessUnitId
testuser001,contoso\testuser001,testuser001@contoso.local,test user001,test,user001,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser002,contoso\testuser002,testuser002@contoso.local,test user002,test,user002,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser003,contoso\testuser003,testuser003@contoso.local,test user003,test,user003,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser004,contoso\testuser004,testuser004@contoso.local,test user004,test,user004,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser005,contoso\testuser005,testuser005@contoso.local,test user005,test,user005,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser006,contoso\testuser006,testuser006@contoso.local,test user006,test,user006,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser007,contoso\testuser007,testuser007@contoso.local,test user007,test,user007,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser008,contoso\testuser008,testuser008@contoso.local,test user008,test,user008,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser009,contoso\testuser009,testuser009@contoso.local,test user009,test,user009,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
testuser010,contoso\testuser010,testuser010@contoso.local,test user010,test,user010,555-555x,555-555x,999-999x,Seattle,US,WA,Sample Street,Sales Rep.,Sales,Seattle,,US,password,FALSE,FALSE,CSS,salesperson,,
